Route;Vehicle;Activity;Job;Arrive_Load;Leave_Load;Wait_Time;Arrive_Time;Leave_Time;Distance;Costs
#1;0;start;0;9;9;0;0;0;0.0;12
#1;0;service;3;9;8;0;1.12;1.12;55.8;17.58
#1;0;service;15;8;7;0;5.72;5.72;285.93;40.59
#1;0;service;11;7;6;0;9.66;9.66;483.04;60.3
#1;0;service;8;6;5;0;11.31;11.31;565.32;68.53
#1;0;service;4;5;4;0;18.32;18.32;916.21;103.62
#1;0;service;1;4;3;0;22.54;22.54;1126.82;124.68
#1;0;service;9;3;2;0;26.21;26.21;1310.27;143.03
#1;0;service;10;2;1;0;29.0;29.0;1449.98;157.0
#1;0;service;14;1;0;0;31.61;31.61;1580.32;170.03
#1;0;finish;0;0;0;0;37.01;37.01;1850.7;197.07
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
#2;1;start;0;7;7;0;0;0;0.0;25
#2;1;service;12;7;6;0;1.11;1.11;77.98;102.98
#2;1;service;16;6;5;0;1.94;1.94;135.68;160.68
#2;1;service;5;5;4;0;2.42;2.42;169.42;194.42
#2;1;service;2;4;3;0;4.19;4.19;293.47;318.47
#2;1;service;13;3;2;0;5.14;5.14;360.04;385.04
#2;1;service;7;2;1;0;6.45;6.45;451.49;476.49
#2;1;service;6;1;0;0;7.13;7.13;499.28;524.28
#2;1;finish;0;0;0;0;8.11;8.11;568.02;593.02
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
MAX TIME;;;;;;;;37.01;;
TOTAL;;;;;;;;;2418.73;790.09
