Route;Vehicle;Activity;Job;Arrive_Load;Leave_Load;Wait_Time;Arrive_Time;Leave_Time;Distance;Costs
#1;3;start;0;112;112;0;0;0;0.0;1
#1;3;service;50;112;90;0;74.33;74.33;74.33;75.33
#1;3;service;33;90;74;0;82.39;82.39;82.39;83.39
#1;3;service;59;74;52;0;90.99;90.99;90.99;91.99
#1;3;service;4;52;36;0;99.24;99.24;99.24;100.24
#1;3;service;6;36;19;0;130.64;130.64;130.64;131.64
#1;3;service;77;19;0;0;180.14;180.14;180.14;181.14
#1;3;finish;0;0;0;0;210.21;210.21;210.21;211.21
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
#2;2;start;0;118;118;0;0;0;0.0;1
#2;2;service;27;118;95;0;22.83;22.83;22.83;23.83
#2;2;service;75;95;91;0;34.23;34.23;34.23;35.23
#2;2;service;70;91;68;0;38.7;38.7;38.7;39.7
#2;2;service;54;68;60;0;78.36;78.36;78.36;79.36
#2;2;service;20;60;46;0;80.6;80.6;80.6;81.6
#2;2;service;73;46;31;0;104.93;104.93;104.93;105.93
#2;2;service;32;31;25;0;108.53;108.53;108.53;109.53
#2;2;service;7;25;20;0;112.14;112.14;112.14;113.14
#2;2;service;22;20;11;0;129.23;129.23;129.23;130.23
#2;2;service;43;11;0;0;166.02;166.02;166.02;167.02
#2;2;finish;0;0;0;0;177.2;177.2;177.2;178.2
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
#3;1;start;0;78;78;0;0;0;0.0;1
#3;1;service;65;78;65;0;28.3;28.3;28.3;29.3
#3;1;service;42;65;51;0;70.08;70.08;70.08;71.08
#3;1;service;16;51;45;0;73.68;73.68;73.68;74.68
#3;1;service;18;45;27;0;77.8;77.8;77.8;78.8
#3;1;service;25;27;12;0;80.97;80.97;80.97;81.97
#3;1;service;10;12;10;0;84.13;84.13;84.13;85.13
#3;1;service;40;10;5;0;107.32;107.32;107.32;108.32
#3;1;service;64;5;0;0;117.95;117.95;117.95;118.95
#3;1;finish;0;0;0;0;163.96;163.96;163.96;164.96
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
#4;2;start;0;117;117;0;0;0;0.0;1
#4;2;service;72;117;105;0;7.28;7.28;7.28;8.28
#4;2;service;67;105;91;0;11.75;11.75;11.75;12.75
#4;2;service;55;91;88;0;101.89;101.89;101.89;102.89
