X	Y
365	689
146	180
792	5
658	510
461	270
299	531
812	228
643	90
615	630
258	42
616	299
475	957
425	473
406	64
656	369
202	467
318	21
579	587
458	354
575	871
47	512
568	742
128	436
546	806
197	696
615	300
852	563
772	803
678	342
916	176
390	949
113	782
226	736
119	923
584	572
134	554
912	173
827	233
851	677
598	322
627	472
94	442
688	274
977	176
597	461
931	23
170	640
941	601
873	487
797	95
451	816
866	970
833	912
106	913
260	107
332	45
685	613
728	372
487	497
702	440
717	412
635	794
927	972
635	356
634	540
658	261
303	168
707	410
254	135
346	29
75	79
893	987
729	372
29	910
356	39
274	943
322	96
664	396
704	236
415	837
576	587
750	977
726	363
861	948
302	129
415	989
199	135
801	405
679	426
994	804
311	116
739	898
268	97
176	991
688	588
107	836
708	522
679	864
985	877
954	950
615	750
